Source,Target,CoAuthored
"Hayashi, T","Chen, NX",2
"Hayashi, T","Soplin, NEY",2
"Peters, ME","Neumann, M",2
"Hayashi, T","Karita, S",2
"Hayashi, T","Hori, T",2
"Klein, D","Manning, CD",2
"Jia, Y","Wu, YH",2
"Peters, ME","Smith, NA",2
"Lehmann, J","Bizer, C",2
"Lehmann, J","Auer, S",2
"Karita, S","Chen, NX",2
"Neumann, M","Peters, ME",2
"Ott, M","Edunov, S",2
"Liu, X","Yang, ZL",2
"Liu, X","Qiu, JZ",2
"Karita, S","Hori, T",2
"Clark, R","Wu, YH",2
"Karita, S","Watanabe, S",2
"Clark, R","Weiss, RJ",2
"Liu, X","Du, ZX",2
"Clark, R","Chen, ZF",2
"Du, ZX","Tang, J",2
"Du, ZX","Yang, ZL",2
"Lehmann, J","Hellmann, S",2
"Du, ZX","Liu, X",2
"Soplin, NEY","Watanabe, S",2
"Soplin, NEY","Hori, T",2
"Soplin, NEY","Karita, S",2
"Bengio, S","Jaitly, N",2
"Soplin, NEY","Hayashi, T",2
"Qiu, JZ","Liu, X",2
"Zhou, D","Wei, J",2
"Agarwal, S","Wu, J",2
"Zhou, D","Narang, S",2
"Mishra, G","Roberts, A",2
"Mishra, G","Devlin, J",2
"Mishra, G","Narang, S",2
"Mishra, G","Chowdhery, A",2
"Petrov, S","Wang, XZ",2
"Zhou, D","Chowdhery, A",2
"Zhou, D","Devlin, J",2
"Watanabe, S","Vincent, E",2
"Zhou, D","Mishra, G",2
"Watanabe, S","Hori, T",2
"Watanabe, S","Karita, S",2
"Zhou, D","Roberts, A",2
"Zhou, D","Chung, HW",2
"Watanabe, S","Hayashi, T",2
"Salakhutdinov, R","Le, QV",2
"Salakhutdinov, R","Carbonell, J",2
"Salakhutdinov, R","Yang, YM",2
"Salakhutdinov, R","Dai, ZH",2
"Salakhutdinov, R","Yang, ZL",2
"Pineau, J","Courville, A",2
"Carbonell, J","Le, QV",2
"Carbonell, J","Salakhutdinov, R",2
"Carbonell, J","Yang, YM",2
"Carbonell, J","Dai, ZH",2
"Carbonell, J","Yang, ZL",2
"Mishra, G","Chung, HW",2
"Petrov, S","Pellat, M",2
"Yang, YM","Le, QV",2
"Neumann, M","Zettlemoyer, L",2
"Pineau, J","Bengio, Y",2
"Pineau, J","Sordoni, A",2
"Watanabe, S","Soplin, NEY",2
"Zettlemoyer, L","Ghazvininejad, M",2
"Watanabe, S","Chen, NX",2
"Zettlemoyer, L","Yih, WT",2
"Chowdhery, A","Zoph, B",2
"Zhou, D","Wang, XZ",2
"Al-Rfou, R","Constant, N",2
"Zhou, D","Pellat, M",2
"Chowdhery, A","Pellat, M",2
"Zhou, D","Zoph, B",2
"Auer, S","Lehmann, J",2
"Chowdhery, A","Wang, XZ",2
"Zhou, D","Robinson, K",2
"Khudanpur, S","Wang, YM",2
"Wang, MX","Li, L",2
"Chowdhery, A","Wei, J",2
"Zettlemoyer, L","Neumann, M",2
"Auer, S","Hellmann, S",2
"Chen, ZF","Zhang, Y",2
"Pang, RM","Wu, YH",2
"Chen, ZF","Jia, Y",2
"Agarwal, S","Askell, A",2
"Zettlemoyer, L","Levy, O",2
"Chen, ZF","Clark, R",2
"Chowdhery, A","Dean, J",2
"Chowdhery, A","Petrov, S",2
"Auer, S","Bizer, C",2
"Bizer, C","Lehmann, J",2
"Petrov, S","Dean, J",2
"Bizer, C","Hellmann, S",2
"Qiu, JZ","Tang, J",2
"Petrov, S","Wei, J",2
"Bizer, C","Auer, S",2
"Li, L","Wang, MX",2
"Yang, YM","Salakhutdinov, R",2
"Guy, A","Mensch, A",2
"Saon, G","Soltau, H",2
"Gardner, M","Dasigi, P",2
"Ultes, S","Wen, TH",2
"Ultes, S","Gasic, M",2
"Ji, GL","He, SZ",2
"Ji, GL","Liu, K",2
"Ji, GL","Zhao, J",2
"He, SZ","Ji, GL",2
"He, SZ","Liu, K",2
"Gardner, M","Liu, NF",2
"Li, YH","Bandar, ZA",2
"He, SZ","Zhao, J",2
"Roberts, A","Chung, HW",2
"Roberts, A","Mishra, G",2
"Roberts, A","Devlin, J",2
"Roberts, A","Chowdhery, A",2
"Gasic, M","Wen, TH",2
"Gasic, M","Ultes, S",2
